单品编码,单品名称,分类编码,分类名称,总销量,平均销售单价,批发价格,损耗率,需求
102900005115168,牛首生菜,1011010101,花叶类,899.837,4.08001916626737,2.2,12.83,899.837
102900005115199,四川红香椿,1011010101,花叶类,333.223,32.752994791666666,17.96,12.83,333.223
102900005115625,本地小毛白菜,1011010101,花叶类,121.02,4.612418300653594,3.0,12.83,121.02
102900005115748,白菜苔,1011010101,花叶类,718.676,4.060229885057471,2.64,12.83,718.676
102900005115762,苋菜,1011010101,花叶类,5100.061,5.071307893970289,2.21,12.83,5100.061
102900005115779,云南生菜,1011010101,花叶类,15910.461,8.209421616065384,5.68,12.83,15910.461
102900005115786,竹叶菜,1011010101,花叶类,7240.764,5.474428518472755,2.15,12.83,7240.764
102900005115793,小白菜,1011010101,花叶类,1707.303,15.793224181360202,11.82,12.83,1707.303
102900005115816,南瓜尖,1011010101,花叶类,18.428,8.19047619047619,4.47,12.83,18.428
102900005115823,上海青,1011010101,花叶类,7606.756,7.524657534246575,4.09,12.83,7606.756
102900005115854,萝卜叶,1011010101,花叶类,415.325,5.125609756097561,2.29,12.83,415.325
102900005115861,牛首油菜,1011010101,花叶类,3836.566,4.107791074545001,2.0,12.83,3836.566
102900005115878,茼蒿,1011010101,花叶类,4110.162,6.637282780410742,8.42,12.83,4110.162
102900005115885,蔡甸藜蒿,1011010101,花叶类,939.575,14.294796288826142,6.22,12.83,939.575
102900005115908,菜心,1011010101,花叶类,4496.717,7.315399648231386,4.62,12.83,4496.717
102900005115946,木耳菜,1011010101,花叶类,1566.64,7.098733195449845,3.12,12.83,1566.64
102900005115960,大白菜,1011010101,花叶类,19187.218,2.1455988931348005,2.53,12.83,19187.218
102900005115977,豌豆尖,1011010101,花叶类,85.048,14.767263427109974,14.17,12.83,85.048
102900005115984,云南油麦菜,1011010101,花叶类,10305.364,6.892826133677198,2.66,12.83,10305.364
102900005116639,马齿苋,1011010101,花叶类,94.315,9.61405750798722,7.22,12.83,94.315
102900005116790,黄心菜(1),1011010101,花叶类,2911.299,6.077299209321681,10.0,12.83,2911.299
102900005116806,黑油菜,1011010101,花叶类,101.125,4.306666666666667,2.0,12.83,101.125
102900005118572,本地上海青,1011010101,花叶类,596.697,2.570127795527157,1.6,12.83,596.697
102900005118817,菠菜,1011010101,花叶类,5216.461,9.963779749331081,9.67,12.83,5216.461
102900005118831,娃娃菜,1011010101,花叶类,8982.0,5.0217700689348455,4.4,12.83,8982.0
102900005119975,红薯尖,1011010101,花叶类,5159.433,5.985344234736761,2.6,12.83,5159.433
102900005122654,枝江红菜苔,1011010101,花叶类,4962.454,6.389383875400824,4.17,12.83,4962.454
102900005128748,黄花菜,1011010101,花叶类,1.784,67.85454545454546,65.36,12.83,1.784
102900011000175,快菜,1011010101,花叶类,91.272,8.217391304347826,5.43,12.83,91.272
102900011000571,随州泡泡青,1011010101,花叶类,675.221,4.696127562642369,5.8,12.83,675.221
102900011002414,田七,1011010101,花叶类,45.252,13.50960451977401,8.16,12.83,45.252
102900011006689,东门口小白菜,1011010101,花叶类,1543.478,5.253676117251321,3.61,12.83,1543.478
102900011006948,外地茼蒿,1011010101,花叶类,732.615,16.151889168765745,9.19,12.83,732.615
102900011006955,冰草,1011010101,花叶类,16.337,13.9125,7.14,12.83,16.337
102900011007464,紫苏,1011010101,花叶类,30.172,20.466666666666665,6.13,12.83,30.172
102900011007471,薄荷叶,1011010101,花叶类,7.568,17.89275362318841,11.18,12.83,7.568
102900011007495,蒲公英,1011010101,花叶类,4.232,29.79032258064516,10.06,12.83,4.232
102900011008133,丝瓜尖,1011010101,花叶类,14.227,20.64,32.49,12.83,14.227
102900011008164,奶白菜,1011010101,花叶类,5816.308,4.859513290902284,2.56,12.83,5816.308
102900011008485,芥菜,1011010101,花叶类,51.735,7.451923076923077,8.09,12.83,51.735
102900011008492,大芥兰,1011010101,花叶类,7.48,3.8,4.3,12.83,7.48
102900011008515,面条菜,1011010101,花叶类,12.936,9.212698412698412,5.09,12.83,12.936
102900011008522,甜白菜,1011010101,花叶类,4685.261,7.638536005434782,4.98,12.83,4685.261
102900011008676,荠菜,1011010101,花叶类,15.887,6.0736842105263165,11.17,12.83,15.887
102900011015384,马兰头,1011010101,花叶类,3.39,47.050000000000004,30.5,12.83,3.39
102900011015391,甘蓝叶,1011010101,花叶类,0.9430000000000001,12.0,2.0,12.83,0.9430000000000001
102900011021644,洪山菜苔,1011010101,花叶类,25.0,3.96,6.13,12.83,25.0
102900011022849,本地黄心油菜,1011010101,花叶类,1375.122,3.2037590773173856,0.6,12.83,1375.122
102900011022924,青菜苔,1011010101,花叶类,30.275,3.0,1.4,12.83,30.275
102900011023464,小青菜(1),1011010101,花叶类,3267.993,5.893957016434892,2.7,12.83,3267.993
102900011026502,鲜粽子叶,1011010101,花叶类,6.32,19.227272727272727,12.66,12.83,6.32
102900011026618,艾蒿,1011010101,花叶类,10.512,4.148148148148148,2.8,12.83,10.512
102900011027462,奶白菜苗,1011010101,花叶类,16.829,10.0,5.76,12.83,16.829
102900011027615,菊花油菜,1011010101,花叶类,8.472,10.0,2.0,12.83,8.472
102900011029688,双沟白菜,1011010101,花叶类,2.8859999999999997,6.0,0.01,12.83,2.8859999999999997
102900011030042,枝江红菜苔(份),1011010101,花叶类,313.0,2.177635782747604,0.14,12.83,313.0
102900011030059,云南生菜(份),1011010101,花叶类,14325.0,4.467895030709101,3.49,12.83,14325.0
102900011030097,云南油麦菜(份),1011010101,花叶类,8848.0,4.03411937267291,2.84,12.83,8848.0
102900011030103,茼蒿(份),1011010101,花叶类,587.0,2.318259385665529,0.97,12.83,587.0
102900011030110,菠菜(份),1011010101,花叶类,6342.0,3.9983317595215615,4.07,12.83,6342.0
102900011030134,菜心(份),1011010101,花叶类,2053.0,3.2195811008280564,2.16,12.83,2053.0
102900011030141,上海青(份),1011010101,花叶类,3070.0,2.9608922175187233,2.02,12.83,3070.0
102900011030158,小青菜(2),1011010101,花叶类,296.0,1.5358108108108108,0.1,12.83,296.0
102900011030400,洪山菜薹珍品手提袋,1011010101,花叶类,3.0,14.833333333333334,73.5,12.83,3.0
102900011030417,洪山菜薹莲藕拼装礼盒,1011010101,花叶类,3.0,16.266666666666666,141.0,12.83,3.0
102900011030905,鱼腥草(份),1011010101,花叶类,470.0,4.66,3.16,12.83,470.0
102900011031216,冰草(盒),1011010101,花叶类,29.0,8.806896551724138,4.1,12.83,29.0
102900011032176,紫苏(份),1011010101,花叶类,40.0,3.7225,1.85,12.83,40.0
102900011032282,襄甜红菜苔(袋),1011010101,花叶类,41.0,3.724390243902439,2.5,12.83,41.0
102900011032480,白蒿,1011010101,花叶类,2.224,26.160000000000004,12.07,12.83,2.224
102900011032589,鱼腥草,1011010101,花叶类,28.601,11.728301886792453,4.1,12.83,28.601
102900011032787,竹叶菜(份),1011010101,花叶类,1076.0,2.115506035283194,1.08,12.83,1076.0
102900011033081,春菜,1011010101,花叶类,24.996,7.175,4.96,12.83,24.996
102900011033173,槐花,1011010101,花叶类,9.3,19.317073170731707,11.26,12.83,9.3
102900011033234,红薯尖(份),1011010101,花叶类,727.0,1.9556473829201102,0.5,12.83,727.0
102900011033241,蔡甸藜蒿(份),1011010101,花叶类,65.0,3.583076923076923,4.69,12.83,65.0
102900011033531,红珊瑚(粗叶),1011010101,花叶类,0.682,19.8,12.0,12.83,0.682
102900011033562,红橡叶,1011010101,花叶类,0.419,19.8,12.0,12.83,0.419
102900011033586,绿牛油,1011010101,花叶类,1.153,19.8,12.0,12.83,1.153
102900011033906,保康高山大白菜,1011010101,花叶类,6484.736,2.498798377028714,0.3,12.83,6484.736
102900011033920,黄心菜(2),1011010101,花叶类,1882.768,7.083819628647214,5.54,12.83,1882.768
102900011034200,苋菜(份),1011010101,花叶类,426.0,2.748941176470588,0.1,12.83,426.0
102900011034217,小白菜(份),1011010101,花叶类,341.0,8.216909620991254,5.74,12.83,341.0
102900011034224,小青菜(份),1011010101,花叶类,4057.0,3.011754558896008,1.04,12.83,4057.0
102900011034231,奶白菜(份),1011010101,花叶类,6931.0,3.2462527075812275,1.36,12.83,6931.0
102900011034316,芝麻苋菜,1011010101,花叶类,9.381,6.0,4.21,12.83,9.381
102900011034323,鲜粽叶,1011010101,花叶类,6.009,18.400000000000002,15.71,12.83,6.009
102900011034354,鲜粽叶(袋)(1),1011010101,花叶类,200.0,5.9,3.27,12.83,200.0
102900011035481,外地茼蒿(份),1011010101,花叶类,127.0,7.4992125984251965,0.1,12.83,127.0
102900011035764,龙牙菜,1011010101,花叶类,186.831,8.463878326996198,7.69,12.83,186.831
102900011035771,黄白菜(1),1011010101,花叶类,155.496,7.48494382022472,7.58,12.83,155.496
102900011035849,大白菜秧,1011010101,花叶类,16.538,7.076923076923077,2.99,12.83,16.538
102900011036686,木耳菜(份),1011010101,花叶类,27.0,3.588888888888889,1.53,12.83,27.0
102900051000890,芥兰,1011010101,花叶类,0.671,10.0,3.99,12.83,0.671
102900051009220,油菜苔,1011010101,花叶类,40.726,9.64,7.28,12.83,40.726
102900051010455,黄白菜(2),1011010101,花叶类,7987.99,6.750834956860563,4.48,12.83,7987.99
102900051010790,紫贝菜,1011010101,花叶类,27.022,16.396078431372548,10.28,12.83,27.022
106971563780002,鲜粽叶(袋)(2),1011010101,花叶类,8.0,4.9,3.0,12.83,8.0
106972776821582,鲜粽叶(袋)(3),1011010101,花叶类,128.0,6.763043478260869,3.38,12.83,128.0
102900005115250,西峡花菇(1),1011010801,食用菌,2810.716,21.473910756552996,15.6,9.45,2810.716
102900005116530,西峡香菇(1),1011010801,食用菌,11920.227,17.98501547075291,13.6,9.45,11920.227
102900005116547,金针菇(1),1011010801,食用菌,4697.47,8.027740849064966,3.74,9.45,4697.47
102900005116837,平菇,1011010801,食用菌,2542.959,7.831319000581058,5.56,9.45,2542.959
102900005116912,姬菇(1),1011010801,食用菌,375.222,15.101315789473684,12.0,9.45,375.222
102900005117353,白玉菇(1),1011010801,食用菌,22.0,4.9,1.0,9.45,22.0
102900005119098,双孢菇,1011010801,食用菌,627.718,21.53397823458283,10.0,9.45,627.718
102900005119104,蟹味菇(1),1011010801,食用菌,102.0,3.7245098039215683,2.59,9.45,102.0
102900005119944,海鲜菇(1),1011010801,食用菌,502.165,15.425442176870748,7.13,9.45,502.165
102900005125815,杏鲍菇(1),1011010801,食用菌,2404.977,10.105935892362487,5.51,9.45,2404.977
102900011001806,姬菇(包),1011010801,食用菌,1071.0,6.172744186046512,5.69,9.45,1071.0
102900011001813,金针菇(袋)(1),1011010801,食用菌,2149.0,2.952414486921529,0.01,9.45,2149.0
102900011007044,银耳(朵),1011010801,食用菌,287.0,4.257093425605536,3.18,9.45,287.0
102900011008577,猴头菇,1011010801,食用菌,3.0,8.166666666666666,4.17,9.45,3.0
102900011009246,鲜木耳(1),1011010801,食用菌,212.171,13.71900826446281,7.37,9.45,212.171
102900011010563,鸡枞菌,1011010801,食用菌,1.215,75.8,80.0,9.45,1.215
102900011011058,黑牛肝菌,1011010801,食用菌,1.084,77.64999999999999,61.27,9.45,1.084
102900011011546,海鲜菇(袋)(1),1011010801,食用菌,1266.0,4.160509554140128,2.1,9.45,1266.0
102900011011669,秀珍菇,1011010801,食用菌,14.708,15.333333333333334,14.22,9.45,14.708
102900011012482,茶树菇(袋),1011010801,食用菌,90.0,8.566666666666666,6.04,9.45,90.0
102900011012871,黑皮鸡枞菌,1011010801,食用菌,5.795,104.89142857142856,61.29,9.45,5.795
102900011012994,杏鲍菇(袋),1011010801,食用菌,1343.0,5.273507462686567,4.18,9.45,1343.0
102900011013274,白玉菇(袋),1011010801,食用菌,2927.0,6.999486477233824,3.29,9.45,2927.0
102900011018095,虫草花(袋),1011010801,食用菌,978.0,6.107361963190184,3.73,9.45,978.0
102900011021675,赤松茸,1011010801,食用菌,2.388,25.8,12.01,9.45,2.388
102900011021699,牛排菇,1011010801,食用菌,6.602,28.36,15.19,9.45,6.602
102900011023075,活体银耳,1011010801,食用菌,1.0,4.9,3.0,9.45,1.0
102900011026793,杏鲍菇(250克),1011010801,食用菌,10.0,4.9,3.12,9.45,10.0
102900011030561,赤松茸(盒),1011010801,食用菌,5.0,16.8,12.42,9.45,5.0
102900011030608,牛排菇(盒),1011010801,食用菌,34.0,8.077777777777778,5.1,9.45,34.0
102900011030615,猪肚菇(盒),1011010801,食用菌,7.0,11.342857142857143,10.37,9.45,7.0
102900011030622,黑牛肝菌(盒),1011010801,食用菌,4.0,19.8,14.56,9.45,4.0
102900011030639,黑皮鸡枞菌(盒),1011010801,食用菌,4.0,17.325,15.46,9.45,4.0
102900011030912,海鲜菇(份),1011010801,食用菌,1301.0,6.298390804597701,2.59,9.45,1301.0
102900011030929,鲜木耳(份),1011010801,食用菌,741.0,2.168825910931174,1.3,9.45,741.0
102900011031599,杏鲍菇(份),1011010801,食用菌,102.0,3.052941176470588,1.5,9.45,102.0
102900011031841,双孢菇(份),1011010801,食用菌,10.0,7.9799999999999995,0.1,9.45,10.0
102900011031858,金针菇(份),1011010801,食用菌,1.0,3.5,0.1,9.45,1.0
102900011031926,虫草花(份),1011010801,食用菌,1109.0,5.352028854824167,2.6,9.45,1109.0
102900011031995,姬菇(份),1011010801,食用菌,682.0,3.2002923976608186,1.52,9.45,682.0
102900011032619,西峡香菇(2),1011010801,食用菌,413.841,21.786177565124934,11.18,9.45,413.841
102900011032626,鲜木耳(2),1011010801,食用菌,28.535,12.583720930232559,7.35,9.45,28.535
102900011032633,海鲜菇(2),1011010801,食用菌,51.895,14.227692307692308,7.14,9.45,51.895
102900011032640,姬菇(2),1011010801,食用菌,16.953,14.536000000000001,8.88,9.45,16.953
102900011033937,金针菇(2),1011010801,食用菌,473.315,12.283449477351915,5.81,9.45,473.315
102900011033944,杏鲍菇(2),1011010801,食用菌,1304.552,11.751668970965829,8.14,9.45,1304.552
102900011033968,西峡花菇(2),1011010801,食用菌,9.24,19.263636363636365,12.0,9.45,9.24
102900011034330,双孢菇(盒),1011010801,食用菌,4229.0,5.346077504725899,3.41,9.45,4229.0
102900011034538,花菇(一人份),1011010801,食用菌,3.0,6.233333333333333,1.2,9.45,3.0
102900011034705,菌菇火锅套餐(份),1011010801,食用菌,8.0,11.262500000000001,6.7,9.45,8.0
102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌,371.0,7.902425876010782,3.12,9.45,371.0
102900011035788,西峡香菇(份) ,1011010801,食用菌,379.0,4.87730870712401,2.48,9.45,379.0
102900011036068,菌蔬四宝(份),1011010801,食用菌,13.0,6.6692307692307695,2.85,9.45,13.0
102900011036266,鹿茸菇(盒),1011010801,食用菌,3.0,4.9,3.4,9.45,3.0
102900051009336,虫草花,1011010801,食用菌,39.977,28.8778816199377,10.18,9.45,39.977
106930274220092,蟹味菇(袋),1011010801,食用菌,399.0,5.1922693266832916,2.1,9.45,399.0
106930274620090,海鲜菇(袋)(2),1011010801,食用菌,708.0,4.135119887165021,2.58,9.45,708.0
106931885000035,绣球菌,1011010801,食用菌,7.0,12.842857142857143,4.0,9.45,7.0
106931885000356,绣球菌(袋),1011010801,食用菌,2.0,12.8,8.12,9.45,2.0
106949711300068,金针菇(袋)(3),1011010801,食用菌,2549.0,3.311198738170347,1.99,9.45,2549.0
106949711300167,金针菇(袋)(2),1011010801,食用菌,3175.0,3.1422291993720566,6.51,9.45,3175.0
106949711300259,金针菇(盒),1011010801,食用菌,15596.0,3.7605990635623114,1.45,9.45,15596.0
106956146480197,白玉菇(2),1011010801,食用菌,251.0,4.019123505976096,1.0,9.45,251.0
106956146480203,蟹味菇(2),1011010801,食用菌,95.0,4.150526315789474,2.1,9.45,95.0
106957634300010,白玉菇(盒),1011010801,食用菌,168.0,2.8945121951219512,3.9,9.45,168.0
106957634300058,蟹味菇(盒),1011010801,食用菌,81.0,2.8666666666666667,0.1,9.45,81.0
106958851400125,海鲜菇(袋)(4),1011010801,食用菌,2149.0,3.7151627906976743,2.6,9.45,2149.0
106971533450003,海鲜菇(包),1011010801,食用菌,1303.0,3.207692307692308,1.95,9.45,1303.0
106971533455008,海鲜菇(袋)(3),1011010801,食用菌,1775.0,3.626126126126126,1.9,9.45,1775.0
106973223300667,虫草花(盒)(2),1011010801,食用菌,1.0,12.9,2.0,9.45,1.0
106973990980123,和丰阳光海鲜菇(包),1011010801,食用菌,109.0,2.238532110091743,2.04,9.45,109.0
102900005116219,红尖椒,1011010504,辣椒类,438.593,14.646741452991453,11.39,9.24,438.593
102900005116226,青尖椒,1011010504,辣椒类,1186.531,11.255956068713038,5.13,9.24,1186.531
102900005116233,红椒(1),1011010504,辣椒类,3457.875,16.091310879190384,10.79,9.24,3457.875
102900005116905,青杭椒(1),1011010504,辣椒类,1.817,17.48,0.1,9.24,1.817
102900005116943,红杭椒,1011010504,辣椒类,658.56,21.88921113689095,8.21,9.24,658.56
102900005117056,泡泡椒(精品),1011010504,辣椒类,9703.125,9.857506511958324,10.0,9.24,9703.125
102900005117209,七彩椒(1),1011010504,辣椒类,263.192,21.25842044134727,8.92,9.24,263.192
102900005119968,青杭椒(2),1011010504,辣椒类,128.5,8.848494453248811,9.25,9.24,128.5
102900005123880,灯笼椒(1),1011010504,辣椒类,212.043,12.652600297176821,2.01,9.24,212.043
102900005125808,小米椒,1011010504,辣椒类,1447.353,26.577390326209223,15.2,9.24,1447.353
102900011000328,螺丝椒,1011010504,辣椒类,7792.181,10.658329658700062,8.97,9.24,7792.181
102900011000861,红线椒,1011010504,辣椒类,27.713,14.104032258064517,12.0,9.24,27.713
102900011001219,红灯笼椒(1),1011010504,辣椒类,278.612,17.71689655172414,4.95,9.24,278.612
102900011009772,水果辣椒(橙色),1011010504,辣椒类,0.415,25.8,20.0,9.24,0.415
102900011016701,芜湖青椒(1),1011010504,辣椒类,28164.331,7.378117092000858,3.63,9.24,28164.331
102900011022030,组合椒系列,1011010504,辣椒类,641.0,14.681591263650546,2.4,9.24,641.0
102900011027479,小皱皮,1011010504,辣椒类,163.64000000000001,11.716692667706708,12.97,9.24,163.64000000000001
102900011028407,余干椒,1011010504,辣椒类,33.907000000000004,12.677685950413224,14.05,9.24,33.907000000000004
102900011029176,辣妹子,1011010504,辣椒类,119.645,11.639560439560439,0.89,9.24,119.645
102900011029275,紫尖椒,1011010504,辣椒类,1.754,16.0,12.99,9.24,1.754
102900011029299,紫螺丝椒,1011010504,辣椒类,6.843,17.255172413793105,13.97,9.24,6.843
102900011029305,水果辣椒,1011010504,辣椒类,28.571,21.81954887218045,0.11,9.24,28.571
102900011031100,小米椒(份),1011010504,辣椒类,10833.0,5.080595501474926,2.11,9.24,10833.0
102900011031582,青尖椒(份),1011010504,辣椒类,932.0,3.4801502145922747,0.92,9.24,932.0
102900011031735,七彩椒(份),1011010504,辣椒类,18.0,5.055555555555555,3.79,9.24,18.0
102900011031742,灯笼椒(份),1011010504,辣椒类,6.0,2.75,2.06,9.24,6.0
102900011031759,红灯笼椒(份),1011010504,辣椒类,13.0,3.6384615384615384,3.48,9.24,13.0
102900011032022,小皱皮(份),1011010504,辣椒类,5175.0,3.3977597528003085,2.1,9.24,5175.0
102900011032206,青杭椒(份),1011010504,辣椒类,457.0,3.114945054945055,0.1,9.24,457.0
102900011032213,红杭椒(份),1011010504,辣椒类,707.0,4.80818053596615,3.23,9.24,707.0
102900011032220,水果辣椒(份),1011010504,辣椒类,283.0,7.738515901060071,3.92,9.24,283.0
102900011032237,青线椒(份),1011010504,辣椒类,2307.0,4.10654529692241,2.54,9.24,2307.0
102900011032244,红尖椒(份),1011010504,辣椒类,953.0,5.859453781512605,3.1,9.24,953.0
102900011032251,螺丝椒(份),1011010504,辣椒类,8235.0,4.946239689471131,4.29,9.24,8235.0
102900011032343,七彩椒(2),1011010504,辣椒类,370.033,24.036767485822306,12.13,9.24,370.033
102900011032350,灯笼椒(2),1011010504,辣椒类,76.596,15.969896193771627,9.23,9.24,76.596
102900011032367,红灯笼椒(2),1011010504,辣椒类,214.81,18.563846153846153,11.51,9.24,214.81
102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,1868.0,4.040578158458244,2.33,9.24,1868.0
102900011034262,红椒(份),1011010504,辣椒类,93.0,3.418279569892473,0.1,9.24,93.0
102900011034439,青红杭椒组合装(份),1011010504,辣椒类,1257.0,3.842335186656076,3.32,9.24,1257.0
102900011035078,红椒(2),1011010504,辣椒类,769.208,16.906148055207026,12.72,9.24,769.208
102900011036242,青红尖椒组合装(份),1011010504,辣椒类,45.0,5.54,3.88,9.24,45.0
102900051004294,青线椒,1011010504,辣椒类,2219.781,13.802403846153846,6.45,9.24,2219.781
102900005116257,紫茄子(2),1011010501,茄类,13602.001,8.678459297031507,3.43,6.68,13602.001
102900005116509,青茄子(1),1011010501,茄类,3516.763,6.902015994668444,3.98,6.68,3516.763
102900011000335,紫圆茄,1011010501,茄类,7.658,12.285714285714286,1.0,6.68,7.658
102900011009444,大龙茄子,1011010501,茄类,1167.218,8.853798256537983,2.0,6.68,1167.218
102900011016909,花茄子,1011010501,茄类,101.379,11.366839378238343,9.67,6.68,101.379
102900011022764,长线茄,1011010501,茄类,2496.413,10.76186282811177,7.0,6.68,2496.413
102900011033975,青茄子(2),1011010501,茄类,190.522,6.294117647058823,0.09,6.68,190.522
102900011033982,紫茄子(1),1011010501,茄类,297.158,10.909374999999999,4.34,6.68,297.158
102900011033999,圆茄子(1),1011010501,茄类,4.981,5.2,6.18,6.68,4.981
102900051000463,圆茄子(2),1011010501,茄类,1047.689,7.591652566271856,3.2,6.68,1047.689
102900005116714,西兰花,1011010201,花菜类,27537.228,9.90091842797725,7.59,15.51,27537.228
102900011000632,紫白菜(1),1011010201,花菜类,13.251,13.558333333333332,9.61,15.51,13.251
102900011009970,青梗散花,1011010201,花菜类,8393.786,7.058703339882121,7.46,15.51,8393.786
102900011033913,紫白菜(2),1011010201,花菜类,0.615,15.0,8.58,15.51,0.615
102900011034026,枝江青梗散花,1011010201,花菜类,5821.571,8.065955210607163,8.39,15.51,5821.571
102900005116899,净藕(1),1011010402,水生根茎类,27149.44,7.952709685630648,10.38,13.65,27149.44
102900005118824,高瓜(1),1011010402,水生根茎类,1179.652,13.736976678842371,11.67,13.65,1179.652
102900011001561,莲蓬(个),1011010402,水生根茎类,2095.0,2.342914979757085,0.01,13.65,2095.0
102900011001691,菱角,1011010402,水生根茎类,126.422,14.29185667752443,9.16,13.65,126.422
102900011007969,红莲藕带,1011010402,水生根茎类,100.469,10.698016997167139,5.29,13.65,100.469
102900011009277,荸荠,1011010402,水生根茎类,1671.424,6.324841660802252,2.72,13.65,1671.424
102900011010891,野藕(1),1011010402,水生根茎类,448.86,10.173430493273543,9.1,13.65,448.86
102900011018132,野生粉藕,1011010402,水生根茎类,50.815,14.986666666666666,16.06,13.65,50.815
102900011021842,洪湖莲藕(粉藕),1011010402,水生根茎类,6052.0,10.624650233177881,7.36,13.65,6052.0
102900011023976,净藕(2),1011010402,水生根茎类,62.221,5.9460674157303375,8.0,13.65,62.221
102900011024010,鲜藕带(袋),1011010402,水生根茎类,21.0,19.378947368421052,15.0,13.65,21.0
102900011032114,荸荠(份),1011010402,水生根茎类,10.0,5.9,3.8,13.65,10.0
102900011032732,高瓜(2),1011010402,水生根茎类,449.684,20.23447559709242,13.69,13.65,449.684
102900011034569,洪湖莲藕(脆藕),1011010402,水生根茎类,40.0,9.88,2.0,13.65,40.0
102900011035511,净藕(3),1011010402,水生根茎类,348.8,7.313132911392405,0.1,13.65,348.8
102900011035962,野藕(2),1011010402,水生根茎类,11.398,13.0,0.1,13.65,11.398
102900051000944,洪湖藕带,1011010402,水生根茎类,745.554,29.199225931301406,18.0,13.65,745.554
102900051006229,藕尖,1011010402,水生根茎类,18.614,4.0,2.99,13.65,18.614
